	Title of Headline Roundup	description	Topics	Date	url_story	left_story_title	center_story_title	right_story_title	right_story_url	right_story_text	center_story_url	center_story_text	left_story_url	left_story_text
3513	Romney in London		Elections	2012-07-26	/story/romney-london	Romney's Olympics false start	Shaky Start for Romney Overseas Trip 	Romney causes London stir over Olympic readiness remark	http://politics.blogs.foxnews.com/2012/07/26/romney-and-camerons-olympic-match	The Brits, taking a break from beating up on their own politicians over the state of the economy, made major sport out of a seemingly minor gaffe Thursday from Mitt Romney.	http://online.wsj.com/article/SB10000872396390443477104577550621066073012.html	"Mitt Romney launched an overseas tour Thursday that injected a dose of national security into a presidential race that has been nearly devoid of it.
But in his first day of official visits with British leaders, the presumptive Republican nominee had to deal instead with a flap that followed comments he made about British preparations for the Olympics that ruffled feathers and drew a dig from London's mayor."	http://politicalticker.blogs.cnn.com/2012/07/26/romneys-olympics-false-start/	"Mitt Romney told British leaders he hopes to take in an Olympics swimming competition during his time in London. With no pool in sight, the Republican presidential candidate has already made waves of his own.
Early Thursday morning in the U.K., while much of the U.S. political world was fast asleep, the British press had seized on comments the GOP contender made about London's preparations for the Olympics."
3512	Romney's Overseas Trip		Elections	2012-08-01	/story/romneys-overseas-trip	Was Romney's trip 'a great success' or gaffe-filled disaster? 	Romney's Overseas Trip Produces Hits and Misses	RomneyÃ¢â‚¬â„¢s trip a bumpy ride	http://www.washingtontimes.com/news/2012/jul/31/romney-touts-poland-economic-success-story/	Under mounting pressure to be more open on foreign policy issues, Mitt Romney tried to do just that during his six-day trip to visit three American allies Ã¢â‚¬â€ but repeatedly found himself having to backtrack on the things he said.	http://online.wsj.com/article/SB10000872396390444405804577560683492427396.html	"WARSAWâ€”With a speech lauding Poland as a ""defender of freedom,' Mitt Romney finished a trip abroad Tuesday that was long on symbolism but short on new policy, a combination that may have given his presidential campaign much of what it wanted despite some well-publicized stumbles."	http://www.cnn.com/2012/07/31/politics/romney-trip-success-disaster/index.html	"OPINION
Warsaw (CNN) -- In the estimation of Mitt Romney and his top campaign aides, there were no gaffes, no mistakes, no ill-advised statements on the Republican candidate's overseas trip."
3511	Biden Comment Controversy		Elections	2012-08-16	/story/biden-comment-controversy	Mission Impossible: Managing Joe Biden 	Campaign Trail: Biden's Comment About 'Chains' Sparks Controversy	Ryan takes on Obama campaign over Biden 'chains' remark 	http://www.foxnews.com/politics/2012/08/15/obama-defends-biden-on-chains-remark/	"Paul Ryan is taking on the Obama campaign directly over Vice President Biden's ""back in chains"" comment, calling them the mark of a ""desperate"" campaign as President Obama defends his running mate against bipartisan criticism."	http://www.npr.org/blogs/thetwo-way/2012/08/15/158822949/campaign-trail-bidens-comment-about-chains-sparks-controversy	"By telling a racially mixed audience in Virginia on Tuesday that the Republican ticket's economic plans would ""put y'all back in chains,"" Vice President Biden sparked the latest campaign controversy."	http://www.politico.com/news/stories/0812/79776.html	"The most emotionally powerful minute of Joe Bidens two-day swing through rural Virginia almost didnt happen.
Read more: "
3510	Romney Taxes		Elections	2012-08-17	/story/romney-taxes	Obama Campaign Wants Romney To Release 5 Years Of Tax Returns 	Romney Says He Paid A Tax Rate Of At Least 13 Percent 	Romney campaign doesn't bite on Obama tax return offer 	http://www.foxnews.com/politics/2012/08/17/obama-camp-offers-to-pull-back-on-tax-attacks-if-romney-releases-5-years/	The Obama campaign made an unusual offer to Mitt Romney Friday, pledging to refrain from criticizing his transparency on taxes if he agrees to release five more years of returns. The Romney campaign's response? Thanks, but no thanks.	http://www.npr.org/blogs/itsallpolitics/2012/08/16/158939890/romney-says-he-paid-a-tax-rate-of-at-least-13-percent	"Republican presidential candidate Mitt Romney on Thursday revealed a bit more about his tax history, telling reporters: ""I never paid less than 13 percent"" in the past 10 years.
The Obama campaign's response: ""Prove it."""	http://www.huffingtonpost.com/2012/08/17/obama-romney-tax-returns_n_1796291.html	With the spotlight back on Mitt Romney's tax returns, Obama campaign manager Jim Messina reached out to the Romney campaign on Friday pledging a deal: If Romney releases five more years of tax returns, the Obama campaign will no longer criticize the presumptive GOP presidential nominee for his refusal to disclose more information.
3509	Skinnydipping Congressman		US Congress	2012-08-20	/story/skinnydipping-congressman	Exclusive: FBI probed GOP trip with drinking, nudity in Israel 	Congressman Who Took Nude Dip In Sea Of Galilee Apologizes 	Account of overseas skinny-dipping fuels clarifications, accusations on Hill 	http://www.foxnews.com/politics/2012/08/20/report-on-overseas-skinny-dipping-fuels-clarifications-accusations-on-hill/	A bizarre report about Republican congressmen on a late-night swim last year in the Sea of Galilee -- including one who went skinny-dipping -- triggered a flurry of clarifications from Capitol Hill overnight and a round of accusations between two primary opponents.	http://www.npr.org/blogs/thetwo-way/2012/08/20/159329320/congressman-who-took-nude-dip-in-sea-of-galilee-apologizes	"Saying he apologizes for ""any embarrassment I have caused for my colleagues and constituents,"" Kansas Republican Rep. Kevin Yoder has confirmed a Politico report that he was the ""nude member of Congress"" who took a dip in the Sea of Galilee last year during a late-night escapade ""that involved drinking [and] numerous GOP freshmen lawmakers.""
According to Politico:"	http://www.politico.com/news/stories/0812/79865.html	The FBI probed a late-night swim in the Sea of Galilee that involved drinking, numerous GOP freshmen lawmakers, top leadership staff Ã¢â‚¬â€ and one nude member of Congress, according to more than a dozen sources, including eyewitnesses.
3508	Akin Stays In		Elections	2012-08-22	/story/akin-stays	Ignoring Deadline to Quit, G.O.P. Senate Candidate Defies His Party Leaders 	Update: Akin Vows Again To Stay In Missouri Senate Race	Rep. Akin stays in race as deadline passes, resists wall of GOP pressure	http://www.foxnews.com/politics/2012/08/21/rep-akin-stays-in-race-as-deadline-passes-resists-wall-gop-pressure/	Missouri Rep. Todd Akin resisted a united front of Republican Party pressure Tuesday to drop his Senate bid following controversial comments on rape, as Mitt Romney and other party power brokers isolated him amid concern he'd hurt Republicans' chances of winning control of the Senate.	http://www.npr.org/blogs/thetwo-way/2012/08/21/159501649/as-deadline-to-drop-out-nears-rep-akins-best-defender-is-his-opponent	"Saying that the positions he and others have taken against abortion will ""strengthen our country and it's going to strengthen the Republican Party,"" Missouri Rep. Todd Akin said just before 1:30 p.m. ET that he will not withdraw from his state's Senate race by a 6 p.m. ET deadline this evening."	http://www.nytimes.com/2012/08/22/us/politics/ignoring-calls-to-quit-akin-appeals-to-voters-in-ad.html	Representative Todd Akin on Tuesday ignored a deadline to abandon Missouris Senate race and vowed to remain the Republican nominee in defiance of his partys leaders, including the presidential standard-bearer, Mitt Romney.
3507	The Latest Presidential Polls		Elections	2012-08-22	/story/latest-presidential-polls	Obama and Mitt Romney Remain 'Neck and Neck' In Poll Posted: 08/22/2012 8:	Romney's Pick Of Ryan Hasn't Changed Race, Polls Signal Categories	Polls: Romney Surges in Florida and Nevada, Virtually Tied Nationally 	http://townhall.com/tipsheet/guybenson/2012/08/22/polls_romney_surges_in_florida_in_nevada_virtually_tied_nationally	The New York Times' Nate Silver spots a trend: Mitt Romney's polling fortunes have improved significantly in swing states in the last few weeks.  He's right.  Even in last night's generally poor NBC/WSJ poll (Obama's overall lead was 4 points in a D+6 sample), the battleground sub-sample had closed to within three points, down from eight in July.	http://www.npr.org/blogs/thetwo-way/2012/08/22/159728051/romneys-pick-of-ryan-hasnt-changed-race-polls-signal	Two new polls come to much the same conclusion about the 2012 presidential campaign.	http://www.huffingtonpost.com/2012/08/22/obama-mitt-romney-poll_n_1821088.html	"The race between President Barack Obama and Republican presidential candidate Mitt Romney ""remains neck and neck,"" according to an AP-GfK poll released Wednesday -- the outlets' first since Paul Ryan was added to the ticket."
3506	GOP Convention Preview		Elections	2012-08-26	/story/gop-convention-preview	Eight questions going into the Republican National Convention	Romney Reboot? Convention Could Be The Ticket	Obama to break recent precedent, will stump during RNC	http://www.washingtontimes.com/news/2012/aug/23/obama-breaks-precedent-will-stump-during-rnc/	Incumbent presidents usually lay low during their opponents nominating conventions, but not so with President Obama, who will wage an ambitious campaign next week to coincide with the Republican National Convention.	http://www.npr.org/2012/08/24/159998747/romney-reboot-convention-could-be-the-ticket	"Mitt Romney, 65, has spent the better part of a decade running for president. And as the son of a Michigan governor who headed a Detroit auto company, he's been in the public eye much longer.
Yet the former Massachusetts governor has remained an enigma to many voters, his political positions malleable, and much of his business and private life — including his Mormon religion — intentionally obscured."	http://www.washingtonpost.com/wp-srv/special/politics/8-questions-republican-convention/question1/index.html	Question 1: Is it possible for Mitt Romney to reintroduce himself after the attacks by President Obama's campaign?
3502	Ann Romney at Convention		Elections	2012-08-28	/story/ann-romney-convention	Stepping Out of a HusbandÃ¢â‚¬â„¢s Shadow, and Perhaps Overshadowing Him	Ann Romney Delivers: 'She May Have Privilege, But She Understands'	Ann Romney Dazzles in Tampa	http://townhall.com/tipsheet/katiepavlich/2012/08/28/ann_romney_dazzles_in_tampa	Who is Mitt Romney? If Americans didnt know who he was before, they know now. Tuesday night at the RNC convention in Tampa, Mrs. Ann Romney destroyed the stereotype of an out-of-touch Romney family. She entered the Tampa Bay Times forum to a roaring and standing crowd with many chanting, “We love you Ann!	http://www.npr.org/blogs/itsallpolitics/2012/08/29/160222145/ann-romney-delivers-she-may-have-privilege-but-she-understands	"A soft murmur of familiarity rippled through the packed GOP convention hall Tuesday night when Mitt Romney's wife, Ann, spoke not of their ""storybook marriage"" but of one touched by cancer, multiple sclerosis and the trials of raising five sometimes screaming children.
""A storybook marriage? Not at all,"" she said, during her much anticipated prime-time speech. ""What Mitt Romney and I have is a real marriage."""	http://www.nytimes.com/2012/08/29/us/politics/a-revved-up-ann-romney-at-republican-convention-tv-watch.html	She may be too good. Ann Romney is so gifted at politics, she may actually make her husband look a little bad. Their personality gap Ã¢â‚¬â€ her ease, his discomfort Ã¢â‚¬â€ has been evident in most of the many joint interviews they have given television reporters.
3505	Ann Romney to Speak		Elections	2012-08-28	/story/ann-romney-speak	Ann Romney's RNC task: Humanize Mitt	Ann Romney, Gov. Christie & The Roll Call: Today's Convention Highlights	Ã¢â‚¬ËœMittigatorÃ¢â‚¬â„¢ to make case for Romney	http://www.washingtontimes.com/news/2012/aug/27/mittigator-to-make-case-for-romney/	She is a gracious warrior with a kind face, a polished demeanor and the inner mettle of a survivor. Ann Romney has been called the secret weapon of her husbands campaign, and he adores her: When Mitt Romney strides to the podium to introduce his wife of 43 years, he calls her “sweetheart.	http://www.npr.org/blogs/itsallpolitics/2012/08/28/160158442/ann-romney-gov-christie-the-roll-call-todays-convention-highlights	Good morning from Tampa where the Isaac-delayed Republican National Convention is set to get going for real this afternoon.	http://www.politico.com/news/stories/0812/80221.html	Ann Romney will take to the podium here Tuesday night and try to accomplish what the sharpest minds in Republican politics have failed to do: present her stiff and awkward husband as a likable guy.
